idx,sentence1,sentence2,label
1370,Waba emerges new NLC president,Waiting for the next president,1.0
5346,Ride operator charged in N.C. fair accident,N.C. State Fair ride operator arrested after accident,4.400000095367432
3732,lugar and nunn are senators.,lugar and nunn awarded the prime minister a medal.,1.7999999523162842
1753,A woman with two men in hats socializing outside.,A young woman with a knit cap stands against the wall of a Domino's Pizza.,1.399999976158142
599,There are four snowboarders going off a jump and that are in the air.,Two racers are coming to a turn.,1.0
93,A man is fishing.,A man is exercising.,0.5
860,A man takes a slice of pizza.,A man talks on his cell phone.,0.800000011920929
169,A girl is coming up on a car.,A girl jumps on top of a car.,2.5999999046325684
1090,"Agnew said Pinellas began baiting when rabies cases ""went from zero to 30"" in 1995.","Still, Pinellas rabies cases fell sharply to 17 in 1996 and 3 in 1997, Agnew said.",1.75
2811,"There is, however, no photo of Peter Hollingworth in the June issue examined by the Herald yesterday.","There is, however, no photograph of Dr Hollingworth in the June issue of the magazine examined by The Age yesterday.",3.0
786,A man is walking outside.,A man is dancing.,0.75
714,A man is being put into an abulance.,A man is pouring pasta onto a plate.,0.0
466,A dog is standing in the sand.,A tan dog is standing in front of some plants.,2.0
5016,Death toll in Lebanon bombings rises to 47,1 suspect arrested after Lebanon car bombings kill 45,2.799999952316284
889,Several ferrets climb out of their cage.,Ferrets climb down from a shelf.,2.200000047683716
1100,"""Now, the other guy, he's ashamed of his party,"" Street said to crowd laughter.","""The other guy, he's ashamed of his party, and I don't blame him.",3.5
1060,Dotson was arrested Monday in his native Maryland and charged with murder.,"Dotson, 21, was subsequently charged with Dennehy's murder.",3.200000047683716
442,Two tan and white dogs and one tan dog racing down the beach near the water.,Lady in a pink Tinkerbell jacket stands next to the railing and looks out at the water.,0.20000000298023224
723,You should do it.,You should prime it first.,0.0
279,A woman is riding a horse on a beach.,A man is carrying another man on his back.,0.4000000059604645
3981,American Airlines and Pilots Agree on a New Contract,Romney pledges to 'stand with Israel' on Iran threat,0.0
67,A rabbit is playing with a toy rabbit.,A bunny is playing with a stuffed bunny.,4.25
778,A woman is slicing a lemon.,"A woman, in a kitchen, peels a lemon.",2.6670000553131104
2394,Time of the Season by the Zombies We are all vessels filled with many wonders.,The theme song to Cheers: We are all vessels filled with many wonders.,2.799999952316284
4923,Somalia's Shebab claims responsibility for Nairobi mall attack,Syrian rebels claim responsibility for killings in Lebanon,1.2000000476837158
952,A man and woman dance.,A man is petting a dog.,0.3330000042915344
1459,Hong Kong set for democracy march,Hong Kong set for huge democracy rally,4.800000190734863
4352,Weiner stays in NYC mayor's race amid new sexting scandal,Weiner shrugs off latest online sex scandal,3.0
1223,The train sits at the train station.,The blue train is at the station.,4.0
294,A girl is playing a violin.,A baby is laughing and giggling.,0.25
904,A boy runs away from his fishing line.,A boy is running in front of fish hanging on fishing rod.,3.0
1164,"""It just seems like all the issues that we support, he doesn't,"" said Gabriela Lemus of LULAC.","""It just seems like all the issues that we support he doesn't,"" said Gabriela Lemus, the league's director of policy and legislation.",4.199999809265137
4687,US Senate to meet as path out of fiscal impasse still elusive,US Senate has Rare Sunday Session Days Amid Fiscal Impasse,3.5999999046325684
679,The best way I have found is to soak the ears in husk for several hours before grilling.,Soak whole ears in the husk in a bowl of water.,3.200000047683716
